country,country_slug,operator,price_mb_usd,price_gb_usd,policy,policy_reason,margin_10gb_100pct,margin_10gb_50pct,margin_3gb_100pct,breakage_score,region_hint
Samoa,samoa,Digicell Samoa,0.0194805,19.948,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-171.09,-71.35,-41.45,0,global
Satellite Networks,satellite-networks,AeroMobile AS (Satellite Networks),0.085293,87.34,exclude,Non-terrestrial or non-viable destination.,-845.01,-408.31,-243.63,0,global
Saudi Arabia,saudi-arabia,Mobily Saudi Arabia,0.0023355,2.3916,access_fixed,Saudi/Umrah policy: eSIM Access fixed bundles only.,4.47,16.43,11.22,0,middle-east
Senegal,senegal,Orange/Sonatel Senegal,0.011313,11.5845,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-87.46,-29.53,-16.36,0,global
Serbia,serbia,Yettel Serbia,0.000999,1.023,weconnect_breakage,10GB full-usage margin $18.16 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,18.16,23.28,15.32,77,europe-tier
Seychelles,seychelles,Airtel Seychelles,0.194805,199.4803,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-1966.41,-969.01,-580.05,0,global
Singapore,singapore,Singtel Singapore,0.001107,1.1336,weconnect_breakage,10GB full-usage margin $17.05 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,17.05,22.72,14.99,75,europe-tier
Slovakia,slovakia,O2 Slovakia,0.0006885,0.705,weconnect_breakage,10GB full-usage margin $21.34 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.34,24.86,16.27,82,europe-tier
Slovenia,slovenia,A1 Slovenia,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
South Africa,south-africa,Telkom SA,0.002052,2.1012,weconnect_breakage,10GB gate tight but 3GB full-usage margin $12.09; breakage on smaller plans only.,7.38,17.88,12.09,59,standard
South Korea,south-korea,SK Telecom South Korea,0.0022005,2.2533,weconnect_breakage,10GB gate tight but 3GB full-usage margin $11.63; breakage on smaller plans only.,5.86,17.12,11.63,57,standard
South Sudan,south-sudan,MTN,0.131625,134.784,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-1319.45,-645.53,-385.96,0,global
Spain,spain,Movistar Spain,0.0006885,0.705,weconnect_breakage,10GB full-usage margin $21.34 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.34,24.86,16.27,82,europe-tier
Sri Lanka,sri-lanka,Mobitel Sri Lanka,0.0013635,1.3962,weconnect_breakage,10GB full-usage margin $14.43 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,14.43,21.41,14.2,71,europe-tier
Sudan,sudan,Zain Sudan,0.014742,15.0958,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-122.57,-47.09,-26.9,0,global
Suriname,suriname,Digicel Suriname,0.019305,19.7683,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-169.29,-70.45,-40.91,0,global
Sweden,sweden,Tele2 Sweden,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Switzerland,switzerland,Salt Switzerland,0.0007425,0.7603,weconnect_breakage,10GB full-usage margin $20.79 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,20.79,24.59,16.11,81,europe-tier
Taiwan,taiwan,Chunghwa Telecom Taiwan,0.002025,2.0736,weconnect_breakage,10GB full-usage margin $7.65 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,7.65,18.02,12.17,60,standard
Tajikistan,tajikistan,Tacom LLC,0.001431,1.4653,weconnect_breakage,10GB full-usage margin $13.74 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,13.74,21.06,13.99,70,europe-tier
Tanzania,tanzania,ZAIN/Celtel Tanzania,0.0050085,5.1287,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-22.9,2.75,3.0,0,global
Thailand,thailand,DTAC Thailand,0.001026,1.0506,weconnect_breakage,10GB full-usage margin $17.88 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,17.88,23.14,15.24,77,europe-tier
Tonga,tonga,Digicel Tonga,0.086346,88.4183,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-855.79,-413.7,-246.86,0,global
Trinidad and Tobago,trinidad-and-tobago,Digicel Trinidad & Tobago,0.019305,19.7683,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-169.29,-70.45,-40.91,5,caribbean
Tunisia,tunisia,Ooredoo Tunisie,0.0011475,1.175,weconnect_breakage,10GB full-usage margin $16.64 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,16.64,22.51,14.86,75,europe-tier
Turkey,turkey,Turk Telekom Turkey,0.0006075,0.6221,weconnect_breakage,10GB full-usage margin $22.17 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,22.17,25.28,16.52,84,europe-tier
Turks and Caicos Islands,turks-and-caicos-islands,Cable & Wireless (TCI) Turks and Caicos,0.006534,6.6908,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-38.52,-5.06,-1.68,5,caribbean
Uganda,uganda,Airtel/Warid Uganda,0.005157,5.2808,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-24.42,1.99,2.55,0,global
Ukraine,ukraine,KyivStar Ukraine,0.0006345,0.6497,weconnect_breakage,10GB full-usage margin $21.89 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.89,25.14,16.44,83,europe-tier
United Arab Emirates,united-arab-emirates,Etisalat UAE,0.0046035,4.714,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-18.75,4.82,4.25,0,global
United Kingdom,united-kingdom,Vodafone UK,0.0006885,0.705,weconnect_breakage,10GB full-usage margin $21.34 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.34,24.86,16.27,82,europe-tier
United States,united-states,AT&T USA,0.001188,1.2165,weconnect_breakage,10GB full-usage margin $16.22 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,16.22,22.31,14.74,74,europe-tier
Uruguay,uruguay,Movistar Uruguay,0.0027945,2.8616,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-0.23,14.08,9.81,5,south-america
Uzbekistan,uzbekistan,Beeline Uzbekistan,0.000864,0.8847,weconnect_breakage,10GB full-usage margin $19.54 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,19.54,23.97,15.74,79,europe-tier
Vanuatu,vanuatu,Digicell Vanuatu,0.076518,78.3544,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-755.15,-363.38,-216.67,0,global
Venezuela,venezuela,Digitel Venezuela,0.0091665,9.3865,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-65.47,-18.54,-9.77,5,south-america
Vietnam,vietnam,Vinaphone Vietnam,0.0010665,1.0921,weconnect_breakage,10GB full-usage margin $17.47 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,17.47,22.93,15.11,76,europe-tier
Zambia,zambia,Airtel/Zain/Celtel Zambia,0.0051165,5.2393,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-24.0,2.19,2.67,0,global
Zimbabwe,zimbabwe,Econet Wireless Private Limited,0.151632,155.2712,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-1524.32,-747.97,-447.42,0,global
